,dv,iv,p,ll_cv_model,ll_cv_baseline,D_ll_cv,ll_sd,colors
83,ELAN,s_GPT2_xl,0.9998453379706179,-440.50501716948594,-440.4285805027497,-0.07643666673624239,0.0759649563180665,darkgrey
84,ELAN,s_GPTNeo_125M,0.5576597944109836,-440.3123390482551,-440.4285805027497,0.11624145449457046,0.33774427482719976,darkgrey
85,ELAN,s_GPTNeo,0.9558023119836188,-440.54493280885606,-440.4285805027497,-0.11635230610636427,0.21510974781278525,darkgrey
86,ELAN,s_GPTNeo_large,0.9883964639616858,-440.5218372433069,-440.4285805027497,-0.09325674055719446,0.1502010132354389,darkgrey
87,ELAN,cloze_p_smoothed,0.9999999916777712,-440.60622407259854,-440.4285805027497,-0.1776435698488399,0.07960477608271375,darkgrey
88,ELAN,cloze_s,0.9995922866820225,-440.68325989054665,-440.4285805027497,-0.25467938779695487,0.15316955695770468,darkgrey
89,ELAN,rating_mean,0.7640415991687068,-440.54868967913364,-440.4285805027497,-0.12010917638394858,0.3243229626955487,darkgrey
90,LAN,bigram,0.9746460676357052,-443.9828411196824,-443.83426990877945,-0.14857121090295777,0.17232070555573556,darkgrey
91,LAN,trigram,0.9766615840686512,-443.93764753464967,-443.83426990877945,-0.10337762587022326,0.1621335090509234,darkgrey
92,LAN,tetragram,0.9611258129951482,-443.84811598827145,-443.83426990877945,-0.013846079491997898,0.14370540980686067,darkgrey
93,LAN,psg,0.7701206367619726,-443.7820781892398,-443.83426990877945,0.05219171953962132,0.2256482505111569,darkgrey
94,LAN,rnn,0.9993447305444183,-443.9237872717833,-443.83426990877945,-0.08951736300383573,0.07154670105750771,darkgrey
95,LAN,s_GPT2,0.19894820645709177,-443.2231355316014,-443.83426990877945,0.6111343771780753,0.34078174329071254,darkgrey
96,LAN,s_GPT2_medium,0.2446275173061602,-443.3860575345333,-443.83426990877945,0.4482123742461681,0.3975838619640524,darkgrey
97,LAN,s_GPT2_large,0.11487129257388906,-442.9961601891907,-443.83426990877945,0.8381097195887719,0.447792212199144,darkgrey
98,LAN,s_GPT2_xl,0.08539325763612199,-442.8951913307213,-443.83426990877945,0.9390785780581723,0.4139579131387161,darkgrey
99,LAN,s_GPTNeo_125M,0.1443179276479731,-443.0401597015858,-443.83426990877945,0.7941102071936257,0.3304328628243631,darkgrey
100,LAN,s_GPTNeo,0.11850435557270796,-443.13893587658396,-443.83426990877945,0.6953340321954897,0.4967167505756544,darkgrey
101,LAN,s_GPTNeo_large,0.11361528538985713,-443.1183087919018,-443.83426990877945,0.7159611168776223,0.5134015318757297,darkgrey
102,LAN,cloze_p_smoothed,0.560632322887394,-443.46347298235577,-443.83426990877945,0.37079692642367945,0.20992157381484217,darkgrey
103,LAN,cloze_s,0.11181943221000262,-442.9533397146168,-443.83426990877945,0.8809301941626586,0.29208463399305695,darkgrey
104,LAN,rating_mean,0.0013114346818701018,-441.99472875797636,-443.83426990877945,1.8395411508030861,0.6935822867345379,orange
105,N400,bigram,0.000333591773777191,-390.0013818842945,-391.2227387304248,1.221356846130277,1.5969895166089962,tomato
106,N400,trigram,2.3340710420048476e-05,-389.01203683138095,-391.2227387304248,2.2107018990438405,1.3768123718759553,tomato
107,N400,tetragram,8.07330980074259e-06,-388.76462523172853,-391.2227387304248,2.458113498696264,1.4473193220890737,tomato
108,N400,psg,4.334299226309277e-05,-389.5663518105688,-391.2227387304248,1.6563869198560042,1.7285494857301311,tomato
109,N400,rnn,5.117521177530534e-05,-389.20485303961493,-391.2227387304248,2.0178856908098624,1.4045341186198783,tomato
110,N400,s_GPT2,2.3551871177289194e-09,-386.7527813716012,-391.2227387304248,4.469957358823592,1.656437031426044,tomato
111,N400,s_GPT2_medium,7.478910395703268e-08,-387.2057136919423,-391.2227387304248,4.017025038482473,1.3401830676107513,tomato
112,N400,s_GPT2_large,3.82020366860026e-09,-386.48872390542573,-391.2227387304248,4.734014824999065,1.3191658110616904,tomato
113,N400,s_GPT2_xl,1.4458623968628434e-09,-386.3287286309549,-391.2227387304248,4.894010099469881,1.4221236822111765,tomato
114,N400,s_GPTNeo_125M,3.374285309253432e-09,-386.5445378490487,-391.2227387304248,4.678200881376085,1.3821116948295886,tomato
115,N400,s_GPTNeo,1.6130957167423685e-09,-386.37251833436295,-391.2227387304248,4.850220396061843,1.3122831359109501,tomato
116,N400,s_GPTNeo_large,8.544657975090261e-09,-386.78379510448406,-391.2227387304248,4.4389436259407375,0.9994056505457318,tomato
117,N400,cloze_p_smoothed,2.376839148205404e-06,-387.89311160544077,-391.2227387304248,3.329627124984029,1.1505555305904076,tomato
118,N400,cloze_s,8.324828955415426e-07,-387.6099411160476,-391.2227387304248,3.6127976143772003,1.2005174592362293,tomato
119,N400,rating_mean,5.215295047649463e-13,-384.70431750460153,-391.2227387304248,6.518421225823261,1.4998081916732882,tomato
120,EPNP,bigram,0.9999813516346179,-338.22074570989514,-337.8449962473905,-0.37574946250464336,0.19674076152042771,darkgrey
121,EPNP,trigram,0.9998297712776151,-337.98828216597906,-337.8449962473905,-0.14328591858856043,0.08938542590580174,darkgrey
122,EPNP,tetragram,0.9999302151297634,-337.9881467856716,-337.8449962473905,-0.14315053828107693,0.06108678587435213,darkgrey
123,EPNP,psg,0.9997409387530561,-338.24055906748487,-337.8449962473905,-0.39556282009436927,0.1884982088458066,darkgrey
124,EPNP,rnn,0.9967446195744191,-338.040397140977,-337.8449962473905,-0.19540089358650903,0.14002202769066102,darkgrey
125,EPNP,s_GPT2,0.661330089643158,-337.6654119694259,-337.8449962473905,0.17958427796457954,0.32108113102334424,darkgrey
126,EPNP,s_GPT2_medium,0.8289087288539743,-337.8517070357619,-337.8449962473905,-0.00671078837137884,0.2676683645096757,darkgrey
127,EPNP,s_GPT2_large,0.6133670332365928,-337.59518421665626,-337.8449962473905,0.2498120307342333,0.35549655382374556,darkgrey
128,EPNP,s_GPT2_xl,0.4759263647536234,-337.5846167737792,-337.8449962473905,0.26037947361129454,0.4467664819367739,darkgrey
129,EPNP,s_GPTNeo_125M,0.49621838225240333,-337.5867024840776,-337.8449962473905,0.2582937633129063,0.43786485497634936,darkgrey
130,EPNP,s_GPTNeo,0.2910588517103894,-337.18422644475385,-337.8449962473905,0.6607698026366506,0.42132157928777575,darkgrey
131,EPNP,s_GPTNeo_large,0.2910780881987009,-337.29538745883525,-337.8449962473905,0.549608788555247,0.4693112937581347,darkgrey
132,EPNP,cloze_p_smoothed,0.9853384489957265,-337.83170087516044,-337.8449962473905,0.013295372230061275,0.054616589644868464,darkgrey
133,EPNP,cloze_s,0.9797679213406666,-337.81830371966333,-337.8449962473905,0.026692527727163906,0.07309640693756501,darkgrey
134,EPNP,rating_mean,0.37021689350267484,-337.3513747215378,-337.8449962473905,0.4936215258526886,0.23737858815502574,darkgrey
135,P600,bigram,0.8555650959810294,-357.1239298936431,-357.02749751415274,-0.0964323794903521,0.32611033846768983,darkgrey
136,P600,trigram,0.8973249790661489,-357.08034741986336,-357.02749751415274,-0.052849905710615985,0.22771932225918928,darkgrey
137,P600,tetragram,0.7704896139431243,-357.0304218855907,-357.02749751415274,-0.0029243714379845187,0.31359288101998395,darkgrey
138,P600,psg,0.6890132912529779,-357.2367261835695,-357.02749751415274,-0.20922866941674556,0.42344823901814,darkgrey
139,P600,rnn,0.7891607703671705,-356.8814768701877,-357.02749751415274,0.14602064396501646,0.24288013219603127,darkgrey
140,P600,s_GPT2,0.0003713003208540976,-354.8625566004554,-357.02749751415274,2.1649409136973645,0.5478919637865498,tomato
141,P600,s_GPT2_medium,3.44740102150483e-05,-354.3689719590149,-357.02749751415274,2.658525555137828,0.509600505037623,tomato
142,P600,s_GPT2_large,1.5551596642555627e-05,-354.1989420072488,-357.02749751415274,2.8285555069039674,0.5523497544261364,tomato
143,P600,s_GPT2_xl,6.399937000423654e-05,-354.47410207204865,-357.02749751415274,2.5533954421040903,0.6554027768272994,tomato
144,P600,s_GPTNeo_125M,0.0001593854709611339,-354.75838609856675,-357.02749751415274,2.2691114155859964,0.906745707861995,tomato
145,P600,s_GPTNeo,1.2803399137749252e-05,-354.03039027051886,-357.02749751415274,2.9971072436338773,0.734738974948733,tomato
146,P600,s_GPTNeo_large,3.6384599784122156e-06,-353.83286143374346,-357.02749751415274,3.194636080409282,0.8835004115620857,tomato
