,dv,iv,p,ll_cv_model,ll_cv_baseline,D_ll_cv,ll_sd,colors
58,RTgopast,cloze_s,2.002691886133371e-06,-1518.432743783394,-1521.7792634875414,3.3465197041473402,1.1659037030312855,tomato
59,RTgopast,rating_mean,1.1593152880769813e-15,-1514.023105305972,-1521.7792634875414,7.75615818156939,1.8644583778461088,tomato
60,self_paced_reading_time,bigram,7.056116417637672e-08,-1140.496277232435,-1144.3021155844,3.8058383519651215,1.3251296080872157,tomato
61,self_paced_reading_time,trigram,5.306866725883634e-08,-1140.4489111987416,-1144.3021155844,3.8532043856585005,1.557201196011235,tomato
62,self_paced_reading_time,tetragram,3.567128442857124e-08,-1140.0905649811589,-1144.3021155844,4.211550603241221,1.4289024494819222,tomato
63,self_paced_reading_time,psg,9.953828353205675e-08,-1140.4091079204904,-1144.3021155844,3.893007663909657,1.1276047415799133,tomato
64,self_paced_reading_time,rnn,2.6430173733434176e-09,-1139.4986611600466,-1144.3021155844,4.803454424353504,1.1717276988370635,tomato
65,self_paced_reading_time,s_GPT2,0.00011897196003713037,-1141.8993416502176,-1144.3021155844,2.4027739341825054,0.5866636103571312,tomato
66,self_paced_reading_time,s_GPT2_medium,1.2636385598014482e-05,-1141.4181725625451,-1144.3021155844,2.883943021854975,0.6682256157833227,tomato
67,self_paced_reading_time,s_GPT2_large,2.1485438371148936e-06,-1141.0353678820672,-1144.3021155844,3.26674770233285,0.6715213628939206,tomato
68,self_paced_reading_time,s_GPT2_xl,4.092482745388164e-06,-1141.1832612674884,-1144.3021155844,3.1188543169116656,0.6413110814355356,tomato
69,self_paced_reading_time,s_GPTNeo_125M,7.837330698640316e-07,-1140.8349840604492,-1144.3021155844,3.4671315239509113,0.594756789087284,tomato
70,self_paced_reading_time,s_GPTNeo,3.8005182851797413e-06,-1141.1541755700105,-1144.3021155844,3.147940014389633,0.6952062988586758,tomato
71,self_paced_reading_time,s_GPTNeo_large,1.9962155649748707e-06,-1141.03690532921,-1144.3021155844,3.2652102551901407,0.5639765029923173,tomato
72,self_paced_reading_time,cloze_p_smoothed,0.3491930885105347,-1143.7101409358033,-1144.3021155844,0.5919746485967607,0.33971331374295577,darkgrey
73,self_paced_reading_time,cloze_s,0.06212672328344448,-1143.283611246066,-1144.3021155844,1.0185043383341963,0.2921453493337128,darkgrey
74,self_paced_reading_time,rating_mean,1.85216054997947e-10,-1139.023712367659,-1144.3021155844,5.278403216741026,1.4942639484243787,tomato
75,ELAN,bigram,0.7941287993483116,-378.68871117474356,-378.83516652837733,0.14645535363376894,0.18126587909687922,darkgrey
76,ELAN,trigram,0.8775131575586413,-378.7854898980075,-378.83516652837733,0.04967663036984504,0.16810759639272455,darkgrey
77,ELAN,tetragram,0.8699653903994438,-378.77821325981546,-378.83516652837733,0.05695326856186966,0.16087954122468864,darkgrey
78,ELAN,psg,0.9621688183660496,-378.9835812741054,-378.83516652837733,-0.14841474572807556,0.24866913758871054,darkgrey
79,ELAN,rnn,0.325712847819851,-378.7734459167423,-378.83516652837733,0.061720611635053046,0.5838798553693738,darkgrey
80,ELAN,s_GPT2,0.9500336797162682,-378.92790406455913,-378.83516652837733,-0.0927375361818008,0.2615182629705565,darkgrey
81,ELAN,s_GPT2_medium,0.9404185098023848,-378.8816496149232,-378.83516652837733,-0.04648308654589073,0.19751632374114397,darkgrey
82,ELAN,s_GPT2_large,0.8758599214577387,-378.8452837710135,-378.83516652837733,-0.010117242636169976,0.22064640301423147,darkgrey
83,ELAN,s_GPT2_xl,0.9071822414039246,-378.83376217540143,-378.83516652837733,0.0014043529758964723,0.1608721069871312,darkgrey
84,ELAN,s_GPTNeo_125M,0.9450642278269153,-378.8353404088125,-378.83516652837733,-0.00017388043517030383,0.15616281623615136,darkgrey
85,ELAN,s_GPTNeo,0.9591948849677896,-378.8847327243532,-378.83516652837733,-0.04956619597589906,0.1351025603490222,darkgrey
86,ELAN,s_GPTNeo_large,0.9367560993778778,-378.7955172895214,-378.83516652837733,0.039649238855929525,0.12759619738296918,darkgrey
87,ELAN,cloze_p_smoothed,0.9916551103777791,-379.03085358954377,-378.83516652837733,-0.19568706116643853,0.22570052631695695,darkgrey
88,ELAN,cloze_s,1.0,-379.1135619859085,-378.83516652837733,-0.27839545753118955,0.1497969322126319,darkgrey
89,ELAN,rating_mean,0.9999896737944561,-379.360787828447,-378.83516652837733,-0.5256213000696448,0.23703606783900832,darkgrey
90,LAN,bigram,0.7418165476392996,-390.0042778008259,-390.13930894826717,0.13503114744128197,0.19124824956939063,darkgrey
91,LAN,trigram,0.647161094547867,-390.0441607199847,-390.13930894826717,0.0951482282824827,0.27360452363121934,darkgrey
92,LAN,tetragram,0.6025428081342975,-389.97656293325207,-390.13930894826717,0.16274601501510233,0.24574415465964722,darkgrey
93,LAN,psg,0.7112931433422341,-389.8901309086086,-390.13930894826717,0.24917803965854546,0.06525813483468397,darkgrey
94,LAN,rnn,0.9724400696696909,-390.1283792782848,-390.13930894826717,0.010929669982374435,0.08574413497188726,darkgrey
